target	taxa
VOG579	Caudovirales
VOG580	Caudovirales
VOG581	Myoviridae
VOG583	Myoviridae
VOG584	Caudovirales
VOG585	Siphoviridae
VOG586	Caudovirales
VOG587	Caudovirales
VOG589	Caudovirales
VOG591	Caudovirales
VOG592	Caudovirales
VOG593	Caudovirales
VOG594	Siphoviridae
VOG595	Caudovirales
VOG596	Caudovirales
VOG599	Myoviridae
VOG600	Myoviridae
VOG601	Caudovirales
VOG602	Siphoviridae
VOG603	Myoviridae
VOG604	Caudovirales
VOG606	Caudovirales
VOG607	Kayvirus
VOG608	Caudovirales
VOG611	Caudovirales
VOG613	Caudovirales
VOG614	Closteroviridae
VOG621	Caudovirales
VOG623	Mimivirus
VOG624	Luzseptimavirus
VOG626	Wphvirus
VOG630	Siphoviridae
VOG631	Caudovirales
VOG632	Mimivirus
VOG633	Bastillevirinae
VOG638	Mimivirus
VOG641	Caudovirales
VOG645	Marseillevirus
VOG646	Marseillevirus
VOG647	Caudovirales
VOG648	Caudovirales
VOG651	Caudovirales
VOG652	Caudovirales
VOG655	Siphoviridae
VOG656	Siphoviridae
VOG661	Caudovirales
VOG662	Caudovirales
VOG663	Caudovirales
VOG664	Caudovirales
VOG670	Caudovirales
VOG675	Caudovirales
VOG680	Caudovirales
VOG682	Caudovirales
VOG688	Siphoviridae
VOG690	Caudovirales
VOG692	Caudovirales
VOG693	Caudovirales
VOG695	Caudovirales
VOG697	Betaflexiviridae
VOG700	Caudovirales
VOG701	Siphoviridae
VOG702	Chlorovirus
VOG704	Siphoviridae
VOG705	Siphoviridae
VOG706	Caudovirales
VOG707	Caudovirales
VOG710	Siphoviridae
VOG711	Caudovirales
VOG712	Caudovirales
VOG714	Chlorovirus
VOG717	Polydnaviridae
VOG718	Caudovirales
VOG720	Caudovirales
VOG721	Caudovirales
VOG725	Siphoviridae
VOG727	Hepadnaviridae
VOG729	Siphoviridae
VOG730	Caudovirales
VOG731	Caudovirales
VOG733	Caudovirales
VOG737	Caudovirales
VOG739	Caudovirales
VOG740	Caudovirales
VOG742	Siphoviridae
VOG743	Caudovirales
VOG746	Rhabdoviridae
VOG747	Caudovirales
VOG749	Caudovirales
VOG752	Caudovirales
VOG753	Caudovirales
VOG754	Caudovirales
VOG756	Caudovirales
VOG757	Caudovirales
VOG760	Caudovirales
VOG761	Siphoviridae
VOG762	Caudovirales
VOG763	Caudovirales
VOG764	Gokushovirinae
VOG766	Caudovirales
VOG768	Myoviridae
VOG770	Caudovirales
VOG771	Caudovirales
VOG772	Caudovirales
VOG773	Siphoviridae
VOG774	Myoviridae
VOG778	Myoviridae
VOG779	Siphoviridae
VOG780	Caudovirales
VOG782	Siphoviridae
VOG783	Caudovirales
VOG784	Caudovirales
VOG785	Caudovirales
VOG786	Caudovirales
VOG787	Caudovirales
VOG789	Caudovirales
VOG790	Caudovirales
VOG791	Caudovirales
VOG792	Caudovirales
VOG793	Caudovirales
VOG794	Caudovirales
VOG795	Siphoviridae
VOG796	Siphoviridae
VOG797	Myoviridae
VOG798	Alphabaculovirus
VOG800	Firehammervirus
VOG801	Caudovirales
VOG802	Myoviridae
VOG803	Caudovirales
VOG804	Caudovirales
VOG805	Caudovirales
VOG806	Caudovirales
VOG807	Caudovirales
VOG808	Caudovirales
VOG809	Podoviridae
VOG810	Eneladusvirus
VOG812	Siphoviridae
VOG813	Caudovirales
VOG814	Myoviridae
VOG815	Myoviridae
VOG816	Caudovirales
VOG817	Myoviridae
VOG819	Myoviridae
VOG821	Caudovirales
VOG822	Siphoviridae
VOG823	Caudovirales
VOG824	Caudovirales
VOG828	Caudovirales
VOG829	Caudovirales
VOG830	Caudovirales
VOG831	Densovirinae
VOG832	Myoviridae
VOG834	Siphoviridae
VOG836	Myoviridae
VOG837	Caudovirales
VOG839	Caudovirales
VOG840	Caudovirales
VOG841	Caudovirales
VOG842	Caudovirales
VOG844	Myoviridae
VOG845	Myoviridae
VOG846	Caudovirales
VOG849	Wphvirus
VOG850	Caudovirales
VOG851	Caudovirales
VOG852	Caudovirales
VOG853	Mastadenovirus
VOG855	Caudovirales
VOG858	Adenoviridae
VOG859	Ranavirus
VOG862	Caudovirales
VOG863	Caudovirales
VOG867	Caudovirales
VOG868	Caudovirales
VOG871	Cytomegalovirus
VOG872	Caudovirales
VOG874	Autographivirinae
VOG877	Chlorovirus
VOG878	Caudovirales
VOG881	Asteriusvirus
VOG885	Podoviridae
VOG886	Myoviridae
VOG888	Siphoviridae
VOG889	Myoviridae
VOG890	Caudovirales
VOG894	Cytomegalovirus
VOG895	Myoviridae
VOG897	Schizotequatrovirus
VOG898	Caudovirales
VOG900	Cyprinivirus
VOG901	Muromegalovirus
VOG902	Muromegalovirus
VOG907	Caudovirales
VOG908	Bastillevirinae
VOG909	Caudovirales
VOG911	Myoviridae
VOG916	Caudovirales
VOG921	Marseillevirus
VOG922	Marseillevirus
VOG924	Marseillevirus
VOG925	Bunyavirales
VOG926	Hepacivirus
VOG928	Caudovirales
VOG930	Caudovirales
VOG931	Caudovirales
VOG933	Caudovirales
VOG936	Caudovirales
VOG939	Caudovirales
VOG943	Alphavirus
VOG944	Caudovirales
VOG949	Myoviridae
VOG950	Caudovirales
VOG951	Caudovirales
VOG952	Caudovirales
VOG953	Caudovirales
VOG955	Caudovirales
VOG957	Caudovirales
VOG958	Siphoviridae
VOG960	Caudovirales
VOG961	Caudovirales
VOG962	Caudovirales
VOG963	Sobemovirus
VOG964	Caudovirales
VOG965	Caudovirales
VOG967	Orthoretrovirinae
VOG968	Caudovirales
VOG970	Caudovirales
VOG971	Myoviridae
VOG972	Nepovirus
VOG975	Polerovirus
VOG976	Caudovirales
VOG977	Caudovirales
VOG981	Caudovirales
VOG984	Riboviria
VOG989	Chlorovirus
VOG990	Caudovirales
VOG991	Siphoviridae
VOG992	Caudovirales
VOG993	Myoviridae
VOG994	Caudovirales
VOG995	Caudovirales
VOG997	Caudovirales
VOG999	Siphoviridae
VOG1001	Siphoviridae
VOG1002	Siphoviridae
VOG1005	Caudovirales
VOG1006	Caudovirales
VOG1007	Tunavirinae
VOG1008	Siphoviridae
VOG1011	Caudovirales
VOG1013	Caudovirales
VOG1014	Siphoviridae
VOG1015	Myoviridae
VOG1017	Caudovirales
VOG1018	Caudovirales
VOG1020	Fromanvirus
VOG1021	Caudovirales
VOG1022	Caudovirales
VOG1025	Fromanvirus
VOG1027	Siphoviridae
VOG1029	Caudovirales
VOG1030	Siphoviridae
VOG1031	Siphoviridae
VOG1033	Caudovirales
VOG1034	Caudovirales
VOG1035	Siphoviridae
VOG1037	Tunavirinae
VOG1038	Caudovirales
VOG1039	Siphoviridae
VOG1040	Siphoviridae
VOG1041	Chlorovirus
VOG1043	Inoviridae
VOG1045	Monjiviricetes
VOG1046	Caudovirales
VOG1049	Siphoviridae
VOG1050	Tunavirinae
VOG1052	Ortervirales
VOG1053	Siphoviridae
VOG1054	Siphoviridae
VOG1055	Myoviridae
VOG1056	Caudovirales
VOG1058	Caudovirales
VOG1061	Orthoparamyxovirinae
VOG1063	Caudovirales
VOG1064	Alphairidovirinae
VOG1066	Baculoviridae
VOG1068	Caudovirales
VOG1072	Caudovirales
VOG1073	Caudovirales
VOG1074	Caudovirales
VOG1076	Caudovirales
VOG1077	Myoviridae
VOG1079	Caudovirales
VOG1080	Caudovirales
VOG1082	Caudovirales
VOG1083	Caudovirales
VOG1084	Siphoviridae
VOG1085	Mimivirus
VOG1086	Myoviridae
VOG1087	Caudovirales
VOG1088	Herelleviridae
VOG1090	Caudovirales
VOG1091	Siphoviridae
VOG1092	Myoviridae
VOG1093	Caudovirales
VOG1094	Caudovirales
VOG1095	Caudovirales
VOG1096	Caudovirales
VOG1097	Herelleviridae
VOG1098	Myoviridae
VOG1099	Myoviridae
VOG1101	Caudovirales
VOG1103	Siphoviridae
VOG1104	Caudovirales
VOG1105	Caudovirales
VOG1106	Riboviria
VOG1107	Caudovirales
VOG1109	Caudovirales
VOG1110	Myoviridae
VOG1111	Caudovirales
VOG1112	Caudovirales
VOG1113	Caudovirales
VOG1114	Tevenvirinae
VOG1115	Myoviridae
VOG1116	Caudovirales
VOG1117	Caudovirales
VOG1118	Caudovirales
VOG1119	Bastillevirinae
VOG1120	Pecentumvirus
VOG1121	Caudovirales
VOG1122	Myoviridae
VOG1124	Caudovirales
VOG1125	Caudovirales
VOG1126	Caudovirales
VOG1127	Myoviridae
VOG1128	Caudovirales
VOG1129	Siphoviridae
VOG1131	Myoviridae
VOG1132	Myoviridae
VOG1133	Siphoviridae
VOG1134	Myoviridae
VOG1136	Caudovirales
VOG1137	Caudovirales
VOG1138	Siphoviridae
VOG1139	Caudovirales
VOG1140	Myoviridae
VOG1141	Polyomaviridae
VOG1143	Caudovirales
VOG1145	Siphoviridae
VOG1146	Caudovirales
VOG1147	Caudovirales
VOG1149	Myoviridae
VOG1150	Siphoviridae
VOG1151	Caudovirales
VOG1152	Myoviridae
VOG1153	Caudovirales
VOG1154	Caudovirales
VOG1155	Myoviridae
VOG1156	Siphoviridae
VOG1157	Myoviridae
VOG1158	Caudovirales
VOG1159	Caudovirales
VOG1160	Myoviridae
VOG1161	Gammaretrovirus
VOG1162	Caudovirales
VOG1163	Myoviridae
VOG1164	Myoviridae
VOG1165	Myoviridae
VOG1167	Myoviridae
VOG1169	Myoviridae
VOG1170	Caudovirales
VOG1171	Caudovirales
VOG1172	Myoviridae
VOG1173	Picovirinae
VOG1175	Caudovirales
VOG1177	Caudovirales
VOG1178	Picornavirales
VOG1179	Siphoviridae
VOG1181	Caudovirales
VOG1182	Myoviridae
VOG1183	Podoviridae
VOG1184	Caudovirales
VOG1185	Caudovirales
VOG1186	Myoviridae
VOG1187	Caudovirales
VOG1188	Myoviridae
VOG1189	Myoviridae
VOG1190	Caudovirales
VOG1191	Caudovirales
VOG1193	Caudovirales
VOG1194	Caudovirales
VOG1195	Caudovirales
VOG1196	Caudovirales
VOG1197	Caudovirales
VOG1198	Caudovirales
VOG1199	Myoviridae
VOG1200	Siphoviridae
VOG1201	Myoviridae
VOG1202	Siphoviridae
VOG1203	Caudovirales
VOG1204	Caudovirales
VOG1207	Caudovirales
VOG1208	Pahexavirus
VOG1209	Myoviridae
VOG1210	Siphoviridae
VOG1211	Caudovirales
VOG1212	Caudovirales
VOG1213	Mastadenovirus
VOG1214	Caudovirales
VOG1215	Caudovirales
VOG1216	Siphoviridae
VOG1217	Caudovirales
VOG1220	Caudovirales
VOG1221	Tevenvirinae
VOG1223	Myoviridae
VOG1224	Caudovirales
VOG1226	Caudovirales
VOG1228	Caudovirales
VOG1229	Caudovirales
VOG1230	Myoviridae
VOG1231	Caudovirales
VOG1232	Caudovirales
VOG1234	Caudovirales
VOG1236	Myoviridae
VOG1237	Myoviridae
VOG1238	Autographivirinae
VOG1239	Myoviridae
VOG1240	Caudovirales
VOG1241	Myoviridae
VOG1242	Myoviridae
VOG1243	Bastillevirinae
VOG1245	Caudovirales
VOG1246	Caudovirales
VOG1247	Circovirus
VOG1248	Caudovirales
VOG1249	Phikzvirus
VOG1251	Siphoviridae
VOG1252	Totiviridae
VOG1254	Caudovirales
VOG1256	Alphavirus
VOG1257	Hapavirus
VOG1261	Anelloviridae
VOG1262	Mimivirus
VOG1265	Autographivirinae
VOG1267	Siphoviridae
VOG1268	Siphoviridae
VOG1269	Caudovirales
VOG1271	Caudovirales
VOG1272	Spounavirinae
VOG1274	Myoviridae
VOG1275	Fuselloviridae
VOG1277	Siphoviridae
VOG1279	Mimivirus
VOG1280	Adenoviridae
VOG1281	Autographivirinae
VOG1286	Mimivirus
VOG1290	Caudovirales
VOG1291	Betaherpesvirinae
VOG1293	Marseillevirus
VOG1294	Siphoviridae
VOG1295	Siphoviridae
VOG1297	Mimivirus
VOG1301	Luzseptimavirus
VOG1302	Caudovirales
VOG1304	Respirovirus
VOG1306	Myoviridae
VOG1308	Caudovirales
VOG1311	Mononegavirales
VOG1312	Autographivirinae
VOG1313	Caudovirales
VOG1314	Caudovirales
VOG1315	Myoviridae
VOG1318	Caudovirales
VOG1319	Mimivirus
VOG1320	Siphoviridae
VOG1321	Cytomegalovirus
VOG1323	Caudovirales
VOG1325	Myoviridae
VOG1326	Siphoviridae
VOG1327	Kuravirus
VOG1328	Mimivirus
VOG1329	Caudovirales
VOG1331	Myoviridae
VOG1332	Myoviridae
VOG1333	Zindervirus
VOG1334	Betaherpesvirinae
VOG1335	Chlorovirus
VOG1336	Lymphocystivirus
VOG1337	Tevenvirinae
VOG1338	Siphoviridae
VOG1339	Caudovirales
VOG1340	Mimivirus
VOG1341	Siphoviridae
VOG1342	Betaherpesvirinae
VOG1343	Autographivirinae
VOG1344	Myoviridae
VOG1345	Tevenvirinae
VOG1347	Chlorovirus
VOG1348	Tevenvirinae
VOG1349	Caudovirales
VOG1351	Siphoviridae
VOG1352	Autographivirinae
VOG1353	Caudovirales
VOG1354	Rotavirus
VOG1355	Myoviridae
VOG1357	Inoviridae
VOG1358	Caudovirales
VOG1360	Myoviridae
VOG1361	Siphoviridae
VOG1364	Marseillevirus
VOG1366	Marseillevirus
VOG1373	Marseillevirus
VOG1375	Marseillevirus
VOG1377	Marseillevirus
VOG1378	Hepacivirus
VOG1380	Caudovirales
VOG1385	Phycodnaviridae
VOG1387	Marseillevirus
VOG1398	Caudovirales
VOG1400	Marseillevirus
VOG1401	Caudovirales
VOG1402	Marseillevirus
VOG1406	Podoviridae
VOG1407	Caudovirales
VOG1408	Caudovirales
VOG1409	Siphoviridae
VOG1410	Myoviridae
VOG1411	Caudovirales
VOG1413	Siphoviridae
VOG1418	Caudovirales
VOG1419	Caudovirales
VOG1421	Caudovirales
VOG1422	Siphoviridae
VOG1423	Caudovirales
VOG1424	Herelleviridae
VOG1425	Bicaudavirus
VOG1426	Caudovirales
VOG1427	Caudovirales
VOG1428	Bicaudavirus
VOG1429	Caudovirales
VOG1430	Caudovirales
VOG1431	Caudovirales
VOG1432	Caudovirales
VOG1433	Caudovirales
VOG1434	Phycodnaviridae
VOG1436	Caudovirales
VOG1437	Caudovirales
VOG1439	Caudovirales
VOG1440	Caudovirales
VOG1441	Caudovirales
VOG1443	Caudovirales
VOG1445	Caudovirales
VOG1446	Caudovirales
VOG1448	Siphoviridae
VOG1449	Caudovirales
VOG1450	Caudovirales
VOG1451	Caudovirales
VOG1454	Marseillevirus
VOG1455	Siphoviridae
VOG1456	Caudovirales
VOG1457	Sputnikvirus
VOG1458	Myoviridae
VOG1459	Caudovirales
VOG1461	Myoviridae
VOG1463	Caudovirales
VOG1464	Caudovirales
VOG1465	Caudovirales
VOG1467	Picornavirales
VOG1470	Caudovirales
VOG1471	Bicaudavirus
VOG1472	Caudovirales
VOG1476	Caudovirales
VOG1479	Podoviridae
VOG1480	Caudovirales
VOG1483	Caudovirales
VOG1484	Caudovirales
VOG1486	Myoviridae
VOG1487	Alphachrysovirus
VOG1489	Caudovirales
VOG1490	Mononegavirales
VOG1491	Caudovirales
VOG1492	Siphoviridae
VOG1493	Caudovirales
VOG1496	Siphoviridae
VOG1497	Caudovirales
VOG1498	Chlorovirus
VOG1500	Siphoviridae
VOG1501	Cheoctovirus
VOG1504	Webervirus
VOG1505	Caudovirales
VOG1507	Podoviridae
VOG1508	Timquatrovirus
VOG1509	Siphoviridae
VOG1511	Caudovirales
VOG1512	Caudovirales
VOG1515	Myoviridae
VOG1516	Caudovirales
VOG1519	Alphairidovirinae
VOG1521	Siphoviridae
VOG1522	Fromanvirus
VOG1524	Caudovirales
VOG1525	Hepadnaviridae
VOG1526	Caudovirales
VOG1527	Caudovirales
VOG1528	Bclasvirinae
VOG1530	Siphoviridae
VOG1532	Caudovirales
VOG1533	Bracovirus
VOG1534	Podoviridae
VOG1537	Siphoviridae
VOG1538	Siphoviridae
VOG1543	Phycodnaviridae
VOG1544	Siphoviridae
VOG1545	Bracovirus
VOG1549	Caudovirales
VOG1551	Caudovirales
VOG1554	Siphoviridae
VOG1555	Siphoviridae
VOG1556	Siphoviridae
VOG1557	Caudovirales
VOG1558	Phaeovirus
VOG1559	Caudovirales
VOG1562	Siphoviridae
VOG1563	Chloriridovirus
VOG1564	Caudovirales
VOG1565	Caudovirales
VOG1566	Caudovirales
VOG1567	Bclasvirinae
VOG1570	Caudovirales
VOG1571	Caudovirales
VOG1573	Siphoviridae
VOG1575	Caudovirales
VOG1576	Tevenvirinae
VOG1577	Riboviria
VOG1578	Siphoviridae
VOG1579	Caudovirales
VOG1580	Caudovirales
VOG1581	Adenoviridae
VOG1582	Caudovirales
VOG1583	Siphoviridae
VOG1584	Caudovirales
VOG1586	Caudovirales
VOG1587	Timquatrovirus
VOG1588	Caudovirales
VOG1589	Siphoviridae
VOG1591	Siphoviridae
VOG1594	Siphoviridae
VOG1596	Caudovirales
VOG1598	Myoviridae
VOG1599	Myoviridae
VOG1600	Webervirus
VOG1603	Caudovirales
VOG1604	Caudovirales
VOG1605	Herpesviridae
VOG1607	Myoviridae
VOG1608	Caudovirales
VOG1610	Tunavirinae
VOG1611	Caudovirales
VOG1614	Caudovirales
VOG1615	Phaeovirus
VOG1616	Caudovirales
VOG1618	Myoviridae
VOG1621	Caudovirales
VOG1623	Caudovirales
VOG1624	Caudovirales
VOG1625	Hpunavirus
VOG1626	Siphoviridae
VOG1628	Siphoviridae
VOG1630	Caudovirales
VOG1631	Siphoviridae
VOG1634	Caudovirales
VOG1637	Siphoviridae
VOG1639	Caudovirales
VOG1640	Alphabaculovirus
VOG1641	Siphoviridae
VOG1643	Siphoviridae
VOG1644	Caudovirales
VOG1645	Fromanvirus
VOG1646	Caudovirales
VOG1648	Siphoviridae
VOG1651	Myoviridae
VOG1652	Caudovirales
VOG1653	Herelleviridae
VOG1656	Caudovirales
VOG1657	Caudovirales
VOG1659	Siphoviridae
VOG1660	Siphoviridae
VOG1661	Inoviridae
VOG1663	Chlorovirus
VOG1668	Siphoviridae
VOG1670	Podoviridae
VOG1672	Phycodnaviridae
VOG1674	Bracovirus
VOG1675	Caudovirales
VOG1676	Caudovirales
VOG1677	Caudovirales
VOG1678	Myoviridae
VOG1680	Podoviridae
VOG1681	Tevenvirinae
VOG1682	Myoviridae
VOG1684	Caudovirales
VOG1685	Myoviridae
VOG1686	Siphoviridae
VOG1687	Caudovirales
VOG1688	Siphoviridae
VOG1689	Myoviridae
VOG1690	Siphoviridae
VOG1692	Caudovirales
VOG1694	Caudovirales
VOG1695	Siphoviridae
VOG1697	Myoviridae
VOG1699	Siphoviridae
VOG1702	Siphoviridae
VOG1703	Caudovirales
VOG1704	Caudovirales
VOG1705	Myoviridae
VOG1707	Caudovirales
VOG1708	Myoviridae
VOG1709	Myoviridae
VOG1710	Efquatrovirus
VOG1711	Myoviridae
VOG1714	Caudovirales
VOG1715	Myoviridae
VOG1716	Caudovirales
VOG1718	Siphoviridae
VOG1719	Caudovirales
VOG1720	Caudovirales
VOG1721	Caudovirales
VOG1722	Caudovirales
VOG1723	Caudovirales
VOG1725	Siphoviridae
VOG1726	Siphoviridae
VOG1727	Firehammervirus
VOG1728	Caudovirales
VOG1729	Siphoviridae
VOG1730	Siphoviridae
VOG1734	Caudovirales
VOG1735	Myoviridae
VOG1736	Myoviridae
VOG1737	Siphoviridae
VOG1738	Caudovirales
VOG1739	Siphoviridae
VOG1740	Tunavirinae
VOG1741	Siphoviridae
VOG1742	Procedovirinae
VOG1743	Vequintavirus
VOG1744	Podoviridae
VOG1745	Siphoviridae
VOG1747	Caudovirales
VOG1748	Siphoviridae
VOG1753	Caudovirales
VOG1755	Firehammervirus
VOG1757	Caudovirales
VOG1758	Caudovirales
VOG1760	Caudovirales
VOG1761	Siphoviridae
VOG1763	Myoviridae
VOG1766	Myoviridae
VOG1767	Myoviridae
VOG1768	Siphoviridae
VOG1769	Siphoviridae
VOG1772	Myoviridae
VOG1773	Siphoviridae
VOG1774	Myoviridae
VOG1775	Phikzvirus
VOG1776	Caudovirales
VOG1777	Caudovirales
VOG1778	Myoviridae
VOG1779	Caudovirales
VOG1780	Myoviridae
VOG1781	Myoviridae
VOG1783	Siphoviridae
VOG1784	Siphoviridae
VOG1786	Caudovirales
VOG1787	Siphoviridae
VOG1788	Siphoviridae
VOG1789	Siphoviridae
VOG1791	Myoviridae
VOG1793	Caudovirales
VOG1794	Caudovirales
VOG1796	Siphoviridae
VOG1797	Myoviridae
VOG1798	Siphoviridae
VOG1799	Siphoviridae
VOG1800	Caudovirales
VOG1801	Myoviridae
VOG1802	Myoviridae
VOG1804	Myoviridae
VOG1805	Caudovirales
VOG1807	Siphoviridae
VOG1808	Caudovirales
VOG1809	Siphoviridae
VOG1810	Caudovirales
VOG1811	Caudovirales
VOG1812	Siphoviridae
VOG1813	Siphoviridae
VOG1814	Caudovirales
VOG1815	Caudovirales
VOG1816	Eneladusvirus
VOG1817	Siphoviridae
